#,old_path,new_path,bytes,mimetype,role,db_referenced,ref_columns,old_uid_in_consolidation
117,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/9b055f52-44e6-4255-aa73-ea65806691b4_flux_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/9b055f52-44e6-4255-aa73-ea65806691b4_flux_mask.png,32535,image/png,flux-interim,yes,artist_looks.composition_recipe_json,yes
118,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/9b055f52-44e6-4255-aa73-ea65806691b4_flux_src.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/9b055f52-44e6-4255-aa73-ea65806691b4_flux_src.png,1439460,image/png,flux-interim,yes,artist_looks.composition_recipe_json,yes
119,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/9b055f52-44e6-4255-aa73-ea65806691b4_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/9b055f52-44e6-4255-aa73-ea65806691b4_mask.png,59100,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
120,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/9b055f52-44e6-4255-aa73-ea65806691b4_pad_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/9b055f52-44e6-4255-aa73-ea65806691b4_pad_mask.png,59772,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
121,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/9b055f52-44e6-4255-aa73-ea65806691b4_pad_src.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/9b055f52-44e6-4255-aa73-ea65806691b4_pad_src.png,2645693,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
122,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/9b055f52-44e6-4255-aa73-ea65806691b4_source1080.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/9b055f52-44e6-4255-aa73-ea65806691b4_source1080.png,2643157,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
123,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/a0e66633-64fa-41e5-90a6-1fb914ae1959.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/a0e66633-64fa-41e5-90a6-1fb914ae1959.jpg,205342,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
124,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/a540b213-f3ee-491d-8f42-c892ea755e6f.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/a540b213-f3ee-491d-8f42-c892ea755e6f.png,943551,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
125,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/a540b213-f3ee-491d-8f42-c892ea755e6f_vton_raw.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/a540b213-f3ee-491d-8f42-c892ea755e6f_vton_raw.png,943551,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
126,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/b18f20a6-2bea-4813-873d-2a227846b5f2.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/b18f20a6-2bea-4813-873d-2a227846b5f2.png,1368145,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
127,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/b48616b9-f477-4073-97ee-b4e58ff7bcdb.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/b48616b9-f477-4073-97ee-b4e58ff7bcdb.jpg,261104,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
128,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/beb96dfc-e827-4f14-a4c9-e79b8703a8cc.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/beb96dfc-e827-4f14-a4c9-e79b8703a8cc.jpg,193879,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
129,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/bf742ac5-e60a-4662-ad1f-5351e47b2b3e.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/bf742ac5-e60a-4662-ad1f-5351e47b2b3e.jpg,268274,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
130,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/c0879276-cd02-49b5-9d75-1ba77ea51f6b.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/c0879276-cd02-49b5-9d75-1ba77ea51f6b.jpg,289703,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
131,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/c3e77795-3f32-4a9c-89ae-f4e512a758e6_flux_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/c3e77795-3f32-4a9c-89ae-f4e512a758e6_flux_mask.png,39797,image/png,flux-interim,yes,artist_looks.composition_recipe_json,yes
132,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/c3e77795-3f32-4a9c-89ae-f4e512a758e6_flux_src.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/c3e77795-3f32-4a9c-89ae-f4e512a758e6_flux_src.png,1957769,image/png,flux-interim,yes,artist_looks.composition_recipe_json,yes
133,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/c3e77795-3f32-4a9c-89ae-f4e512a758e6_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/c3e77795-3f32-4a9c-89ae-f4e512a758e6_mask.png,70946,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
134,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/c3e77795-3f32-4a9c-89ae-f4e512a758e6_pad_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/c3e77795-3f32-4a9c-89ae-f4e512a758e6_pad_mask.png,71429,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
135,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/c3e77795-3f32-4a9c-89ae-f4e512a758e6_pad_src.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/c3e77795-3f32-4a9c-89ae-f4e512a758e6_pad_src.png,3575137,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
136,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/c3e77795-3f32-4a9c-89ae-f4e512a758e6_source1080.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/c3e77795-3f32-4a9c-89ae-f4e512a758e6_source1080.png,3571791,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
137,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/c8705f75-d062-43fe-a411-3add18c258b0.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/c8705f75-d062-43fe-a411-3add18c258b0.jpg,205740,image/jpeg,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
138,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/ca8c1b64-9dde-489b-927b-f2448d0c6fa5.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/ca8c1b64-9dde-489b-927b-f2448d0c6fa5.png,1152606,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
139,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/cd9307c4-75ec-4bed-81bd-c45e96271121.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/cd9307c4-75ec-4bed-81bd-c45e96271121.png,1229620,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
140,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/d0daa642-4ca0-45ba-97b1-71e88a0c034d.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/d0daa642-4ca0-45ba-97b1-71e88a0c034d.png,7274934,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
141,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/d67c3f87-61f6-4320-a2dc-8601ae41b774.jpg,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/d67c3f87-61f6-4320-a2dc-8601ae41b774.jpg,174723,image/jpeg,composite/other,yes,artist_looks.composition_recipe_json|artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
142,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd13a32f-ce6a-42c6-b1e8-8629cc8f72eb.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd13a32f-ce6a-42c6-b1e8-8629cc8f72eb.png,3088938,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
143,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd13a32f-ce6a-42c6-b1e8-8629cc8f72eb_flux_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd13a32f-ce6a-42c6-b1e8-8629cc8f72eb_flux_mask.png,39765,image/png,flux-interim,yes,artist_looks.composition_recipe_json,yes
144,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd13a32f-ce6a-42c6-b1e8-8629cc8f72eb_flux_src.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd13a32f-ce6a-42c6-b1e8-8629cc8f72eb_flux_src.png,1957769,image/png,flux-interim,yes,artist_looks.composition_recipe_json,yes
145,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd13a32f-ce6a-42c6-b1e8-8629cc8f72eb_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd13a32f-ce6a-42c6-b1e8-8629cc8f72eb_mask.png,70797,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
146,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd13a32f-ce6a-42c6-b1e8-8629cc8f72eb_pad_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd13a32f-ce6a-42c6-b1e8-8629cc8f72eb_pad_mask.png,71272,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
147,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd13a32f-ce6a-42c6-b1e8-8629cc8f72eb_pad_src.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd13a32f-ce6a-42c6-b1e8-8629cc8f72eb_pad_src.png,3575137,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
148,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd13a32f-ce6a-42c6-b1e8-8629cc8f72eb_source1080.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd13a32f-ce6a-42c6-b1e8-8629cc8f72eb_source1080.png,3571791,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
149,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd9ecfa8-f746-47aa-ab1f-ae59e2003e3f_flux_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd9ecfa8-f746-47aa-ab1f-ae59e2003e3f_flux_mask.png,32131,image/png,flux-interim,yes,artist_looks.composition_recipe_json,yes
150,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd9ecfa8-f746-47aa-ab1f-ae59e2003e3f_flux_src.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd9ecfa8-f746-47aa-ab1f-ae59e2003e3f_flux_src.png,716696,image/png,flux-interim,yes,artist_looks.composition_recipe_json,yes
151,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd9ecfa8-f746-47aa-ab1f-ae59e2003e3f_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd9ecfa8-f746-47aa-ab1f-ae59e2003e3f_mask.png,58266,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
152,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd9ecfa8-f746-47aa-ab1f-ae59e2003e3f_pad_mask.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd9ecfa8-f746-47aa-ab1f-ae59e2003e3f_pad_mask.png,58651,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
153,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd9ecfa8-f746-47aa-ab1f-ae59e2003e3f_pad_src.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd9ecfa8-f746-47aa-ab1f-ae59e2003e3f_pad_src.png,954355,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
154,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd9ecfa8-f746-47aa-ab1f-ae59e2003e3f_source1080.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/dd9ecfa8-f746-47aa-ab1f-ae59e2003e3f_source1080.png,956762,image/png,composite/other,yes,artist_looks.composition_recipe_json,yes
155,832fa0bc-1f7e-4586-ab8b-2ac323698ede/8d4a4d22-41c0-43ab-ba99-92750f81e335/de0786d4-3be9-41e3-ae94-0830bc11d791.png,3ca10935-8c3d-4479-9a0c-8bfe8050840c/8d4a4d22-41c0-43ab-ba99-92750f81e335/de0786d4-3be9-41e3-ae94-0830bc11d791.png,8799854,image/png,composite/other,yes,artist_looks.generated_image_url|artist_looks.generated_storage_path,yes
